SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,ShipToAddressID,BillToAddressID,ShipMethod,CreditCardApprovalCode,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
71831,2,2008-06-01 0:00:00,2008-06-13 0:00:00,2008-06-08 0:00:00,5,FALSE,SO71831,PO10295111084,10-4020-000322,30019,652,652,CARGO TRANSPORT 5,,2016.3408,161.3073,50.4085,2228.0566,,625D76FC-C26F-4149-BF24-939FB2BCCD77,2008-06-08 0:00:00
71832,2,2008-06-01 0:00:00,2008-06-13 0:00:00,2008-06-08 0:00:00,5,FALSE,SO71832,PO10353140756,10-4020-000088,29922,639,639,CARGO TRANSPORT 5,,35775.2113,2862.0169,894.3803,39531.6085,,ADDB8620-432A-456E-8470-1BEDD4BC3457,2008-06-08 0:00:00
71845,2,2008-06-01 0:00:00,2008-06-13 0:00:00,2008-06-08 0:00:00,5,FALSE,SO71845,PO2697119362,10-4020-000187,29938,1020,1020,CARGO TRANSPORT 5,,41622.0511,3329.7641,1040.5513,45992.3665,,E68F7EE9-C581-45CD-9C4F-386AEDA74D84,2008-06-08 0:00:00
71846,2,2008-06-01 0:00:00,2008-06-13 0:00:00,2008-06-08 0:00:00,5,FALSE,SO71846,PO2378131604,10-4020-000635,30102,669,669,CARGO TRANSPORT 5,,2453.7645,196.3012,61.3441,2711.4098,,A86D90AD-D1C0-440D-9A57-5B763BF18234,2008-06-08 0:00:00
71856,2,2008-06-01 0:00:00,2008-06-13 0:00:00,2008-06-08 0:00:00,5,FALSE,SO71856,PO16530177647,10-4020-000601,30033,1090,1090,CARGO TRANSPORT 5,,602.1946,48.1756,15.0549,665.4251,,05FEE073-0640-4A3C-914D-FE4AE6DA3D43,2008-06-08 0:00:00
71858,2,2008-06-01 0:00:00,2008-06-13 0:00:00,2008-06-08 0:00:00,5,FALSE,SO71858,PO16153112278,10-4020-000186,29653,1019,1019,CARGO TRANSPORT 5,,13823.7083,1105.8967,345.5927,15275.1977,,5EF091E1-A0AF-437D-85ED-0B557C7923F7,2008-06-08 0:00:00
71863,2,2008-06-01 0:00:00,2008-06-13 0:00:00,2008-06-08 0:00:00,5,FALSE,SO71863,PO16124166561,10-4020-000649,29975,1098,1098,CARGO TRANSPORT 5,,3324.2759,265.9421,83.1069,3673.3249,,3ED03B56-A4BF-4872-9471-BC6C7893EAB7,2008-06-08 0:00:00
71867,2,2008-06-01 0:00:00,2008-06-13 0:00:00,2008-06-08 0:00:00,5,FALSE,SO71867,PO13050111529,10-4020-000160,29644,643,643,CARGO TRANSPORT 5,,1059.31,84.7448,26.4828,1170.5376,,29743C1B-D3AF-4CFE-BD2E-6DE436E3398F,2008-06-08 0:00:00
71885,2,2008-06-01 0:00:00,2008-06-13 0:00:00,2008-06-08 0:00:00,5,FALSE,SO71885,PO6119130779,10-4020-000268,29612,649,649,CARGO TRANSPORT 5,,550.386,44.0309,13.7597,608.1766,,CAAD090D-56A6-444E-AF24-7BEE7605F120,2008-06-08 0:00:00
71895,2,2008-06-01 0:00:00,2008-06-13 0:00:00,2008-06-08 0:00:00,5,FALSE,SO71895,PO3770176273,10-4020-000151,29584,1014,1014,CARGO TRANSPORT 5,,246.7392,19.7391,6.1685,272.6468,,07A17C0A-7F9A-4413-A035-519E5A4573BE,2008-06-08 0:00:00
